subject,label,lat,lon,date
http://www.wikidata.org/entity/Q1438686,Battle of Plymouth,49.964,-4.21,26-8-1652
http://www.wikidata.org/entity/Q1440764,Battle of Timor,-10.38333333,123.6333333,19-02-1942
http://www.wikidata.org/entity/Q1442050,Battle of Maldon,51.71527778,0.700833333,10-8-991
http://www.wikidata.org/entity/Q1443091,Battle of Garigliano,41.2167,13.5667,29-12-1503
http://www.wikidata.org/entity/Q1446460,Action of 4 October 1710,55.517252,12.30982,4-10-1710
http://www.wikidata.org/entity/Q1453186,Action of 30 September 1681,37.02275,-8.99089,30-9-1681
http://www.wikidata.org/entity/Q145588,Battle of Gumbinnen,54.6,22.2,20-08-1914
http://www.wikidata.org/entity/Q1456533,Battle of Guinegate,50.60805556,2.27111111,7-8-1479
http://www.wikidata.org/entity/Q1458235,Battle of the Upper Baetis,36.78333333,-6.35,1-1--217
http://www.wikidata.org/entity/Q1464620,Battle of La Motta,45.71666667,11.36666667,7-10-1513
http://www.wikidata.org/entity/Q1467456,Battle of Teruel,40.35,-1.1,15-12-1937
http://www.wikidata.org/entity/Q14689,Battle of the Ice,58.68333333,27.48333333,5-4-1242
http://www.wikidata.org/entity/Q1473165,Miljevci plateau incident,43.88055556,16.03611111,21-06-1992
http://www.wikidata.org/entity/Q1474180,Battle of Belleau Wood,49.07323056,3.29087222,01-06-1918
http://www.wikidata.org/entity/Q1474647,Battle of Crotona,39.08333333,17.11666667,1-1--217
http://www.wikidata.org/entity/Q1475243,Battle of Cape Esperance,-9.25,159.7,01-09-1939
http://www.wikidata.org/entity/Q1475533,Battle of Spartolos,38.46666667,23.6,1-1--430
http://www.wikidata.org/entity/Q1476126,Battle of Panormus,38.1167,13.3667,1-1--263
http://www.wikidata.org/entity/Q1477050,Chattanooga Campaign,35.045,-85.309,12-4-1861
http://www.wikidata.org/entity/Q1478525,Battle of Edgehill,52.13997,-1.48416,1-1-1642
http://www.wikidata.org/entity/Q1478970,Battle of Carthage,36.886667,10.314722,1-1-698
http://www.wikidata.org/entity/Q1481920,Battle of Alarcos,38.95277778,-4,19-7-1195
http://www.wikidata.org/entity/Q1495481,Battle of Stoke Field,53.035,-0.888,16-6-1487
http://www.wikidata.org/entity/Q149560,Battle of Stallupönen,54.63055556,22.57333333,17-08-1914
http://www.wikidata.org/entity/Q1497885,Battle of Hoke's Run,39.521423,-77.913365,2-7-1861
http://www.wikidata.org/entity/Q1497886,Battle of San Matteo,46.37888889,10.56666667,28-07-1914
http://www.wikidata.org/entity/Q1497902,Battle of Blackburn's Ford,38.80416667,-77.44916667,18-7-1861
http://www.wikidata.org/entity/Q1497909,Battle of Ball's Bluff,39.131525,-77.527428,21-10-1861
http://www.wikidata.org/entity/Q1497926,Battle of Sceaux,48.77861111,2.290555556,19-7-1870
http://www.wikidata.org/entity/Q1497933,Battle of Haelen,50.9333,5.1,12-08-1914
http://www.wikidata.org/entity/Q1497969,Battle of Sayler's Creek,37.30551,-78.22797,12-4-1861
http://www.wikidata.org/entity/Q1500202,Battle of Grumentum,40.28388889,15.90611111,1-1--217
http://www.wikidata.org/entity/Q1500211,Battle of Cissa,41.1157,1.24959,1-1--217
http://www.wikidata.org/entity/Q1500314,Battle of Harran,36.86444444,39.03277778,7-5-1104
http://www.wikidata.org/entity/Q1500532,Battle of Cravant,47.68388889,3.691666667,31-7-1423
http://www.wikidata.org/entity/Q15023755,Battle of Choisy-le-Roi,48.7664,2.40778,19-7-1870
http://www.wikidata.org/entity/Q15023767,Battle of Montmesly,48.7911,2.46278,19-7-1870
